2024-12-20 15:45:49,667 INFO    MainThread:16836 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-20 15:46:01,772 INFO    MainThread:16836 [wandb_run.py:_config_callback():1375] config_cb None None {'activation': 'Tanh', 'optimizer': 'Adam', 'learning_rate': 0.001, 'batch_size': 64}
2024-12-20 15:46:02,335 INFO    MainThread:16836 [wandb_run.py:_config_callback():1375] config_cb None None {'activation': 'Tanh', 'optimizer': 'Adam', 'learning_rate': 0.0001, 'batch_size': 32}
2024-12-20 15:46:03,094 INFO    MainThread:16836 [wandb_run.py:_config_callback():1375] config_cb None None {'activation': 'Tanh', 'optimizer': 'Adam', 'learning_rate': 0.0001, 'batch_size': 64}
2024-12-20 15:46:03,707 INFO    MainThread:16836 [wandb_run.py:_finish():2169] finishing run cristarna21-tum/breast-cancer-classification/548flnsy
2024-12-20 15:46:03,709 ERROR   MainThread:16836 [jupyter.py:save_history():451] Run pip install nbformat to save notebook history
2024-12-20 15:46:03,709 INFO    MainThread:16836 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-12-20 15:46:03,710 INFO    MainThread:16836 [wandb_init.py:_jupyter_teardown():456] cleaning up jupyter logic
2024-12-20 15:46:03,710 INFO    MainThread:16836 [wandb_run.py:_atexit_cleanup():2408] got exitcode: 0
2024-12-20 15:46:03,711 INFO    MainThread:16836 [wandb_run.py:_restore():2390] restore
2024-12-20 15:46:03,712 INFO    MainThread:16836 [wandb_run.py:_restore():2396] restore done
2024-12-20 15:46:06,768 INFO    MainThread:16836 [wandb_run.py:_footer_history_summary_info():3951] rendering history
2024-12-20 15:46:06,769 INFO    MainThread:16836 [wandb_run.py:_footer_history_summary_info():3983] rendering summary
2024-12-20 15:46:06,787 INFO    MainThread:16836 [wandb_run.py:_footer_sync_info():3912] logging synced files
